session,estrangeiro_saldo_mi,institucional_saldo_mi,pessoa_fisica_saldo_mi,inst_financeira_saldo_mi,outros_saldo_mi
2026-06-12,-2.3,-636.8,256.9,365.6,16.5
2026-06-15,998.3,-674.0,-508.3,44.7,139.2
2026-06-16,-1204.0,1220.7,362.6,-679.3,300.1
2026-06-17,72.8,-172.0,254.0,-319.6,164.8
2026-06-18,80.8,-372.1,77.0,-37.1,251.4
2026-06-19,-1.7,-2732.8,556.5,2000.9,177.2
2026-06-22,-2086.2,1520.6,19.2,457.5,88.9
2026-06-23,-1063.3,786.3,138.1,23.9,114.9
2026-06-24,-855.5,339.7,262.4,143.1,110.4
2026-06-25,-410.8,237.2,-70.0,221.1,22.4
2026-06-26,34.7,408.3,-99.3,-339.7,-4.1
2026-06-29,666.5,-767.0,8.0,53.3,39.2
2026-06-30,302.1,-851.0,319.3,164.0,65.6
2026-07-01,-589.8,199.0,186.7,120.0,84.1
2026-07-02,567.6,-119.2,76.9,-602.6,77.3
2026-07-03,698.1,-679.6,-213.2,204.8,-10.1
2026-07-06,-500.3,-391.9,464.7,325.3,102.2
2026-07-07,12.2,-577.1,302.5,177.9,84.5
2026-07-08,-607.6,172.4,220.4,67.0,147.8
2026-07-09,206.4,-281.5,-247.9,286.8,36.2
2026-07-10,1521.5,-840.8,-641.0,-28.8,-10.9
2026-07-13,-177.5,-324.9,370.6,154.8,-23.1
2026-07-14,458.8,-600.5,100.2,-115.5,157.0
2026-07-15,703.4,-625.1,295.2,-435.3,61.7
2026-07-16,58.2,-316.8,226.5,-23.7,55.7
2026-07-17,2362.2,-3413.8,167.9,1108.6,-224.9
2026-07-20,-497.4,281.4,170.3,116.0,-70.3
